"date","close","volume","open","high","low"

"2019/03/08","49.5900","8566278.0000","49.2500","49.6000","48.9200"
"2019/03/07","49.5900","8183569.0000","49.5100","49.8000","48.7600"
"2019/03/06","49.7100","8702463.0000","49.8100","50.2799","49.4400"
"2019/03/05","49.7200","9738755.0000","50.0300","50.4900","49.4100"
"2019/03/04","48.7900","10184430.0000","49.0400","49.5700","48.4339"
"2019/03/01","48.9600","11386420.0000","49.3700","49.7300","48.2150"
"2019/02/28","49.5800","9477279.0000","50.0900","50.1700","49.5400"
"2019/02/27","50.4300","9041002.0000","50.9700","51.0300","49.9500"
"2019/02/26","51.1200","6826591.0000","51.4000","51.9600","51.0800"
"2019/02/25","51.4100","6180409.0000","51.8100","51.8700","51.2700"
"2019/02/22","51.5200","5413155.0000","51.6000","51.9600","51.2400"
"2019/02/21","51.4800","6606700.0000","51.2000","51.8600","51.1000"
"2019/02/20","51.2400","7496775.0000","51.1800","51.6357","50.5700"
"2019/02/19","51.8200","7904332.0000","51.0000","52.2200","51.0000"
"2019/02/15","51.0800","6477127.0000","50.8900","51.4700","50.5650"
"2019/02/14","50.4800","5779858.0000","50.0700","50.7300","49.9550"
"2019/02/13","50.4100","5754929.0000","50.0500","50.7300","49.8850"
"2019/02/12","49.8900","8297599.0000","50.8600","51.0700","49.8800"
"2019/02/11","50.6100","6681895.0000","50.6100","51.0300","50.6000"
"2019/02/08","50.4700","4456094.0000","50.0700","50.5299","49.9200"
"2019/02/07","50.4100","5673856.0000","50.3400","50.6688","49.9700"
"2019/02/06","50.5200","6224837.0000","50.1700","50.7800","49.8600"
"2019/02/05","50.5400","8725738.0000","50.3700","51.0600","50.0150"
"2019/02/04","50.3400","5354019.0000","49.9900","50.4000","49.5600"
"2019/02/01","49.9200","6155809.0000","49.6300","50.4900","49.5700"
"2019/01/31","49.4300","8284317.0000","50.0700","50.4100","49.0850"
"2019/01/30","50.2700","12986260.0000","48.3800","50.4500","48.3600"
"2019/01/29","48.2200","7476380.0000","48.4100","48.4900","47.8700"
"2019/01/28","48.0100","8210097.0000","47.4300","48.4400","47.3300"
"2019/01/25","47.6900","11838970.0000","47.6500","48.1500","46.9000"
"2019/01/24","47.5200","9056679.0000","48.2600","48.5486","47.1700"
"2019/01/23","47.3000","8098773.0000","47.2900","47.8000","46.9400"
"2019/01/22","47.1000","8132946.0000","48.0500","48.0500","46.8400"
"2019/01/18","48.1100","7836376.0000","48.6400","48.7000","47.9400"
"2019/01/17","48.2200","7295648.0000","47.4400","48.5700","47.3200"
"2019/01/16","47.5000","9812924.0000","48.8900","49.1800","47.4100"
"2019/01/15","47.8300","11561370.0000","47.9700","49.2900","46.8500"
"2019/01/14","47.7500","10089890.0000","47.5700","47.9000","46.4000"
"2019/01/11","48.5600","6577060.0000","48.2200","48.6700","47.5900"
"2019/01/10","48.7300","11875920.0000","46.6800","48.9100","45.8200"
"2019/01/09","48.4700","8093215.0000","47.1000","48.7200","46.9200"
"2019/01/08","47.4700","8156968.0000","48.4800","48.6700","46.9500"
"2019/01/07","47.8500","9347829.0000","48.0000","48.4366","47.1300"
"2019/01/04","47.7900","10996270.0000","46.3700","48.8300","46.2400"
"2019/01/03","45.6100","18705060.0000","48.5100","48.9400","45.0800"
"2019/01/02","50.0900","5270689.0000","49.2500","50.1600","48.8800"
"2018/12/31","49.9000","6229823.0000","50.2900","50.6600","49.5600"
"2018/12/28","50.1800","5854374.0000","50.5300","51.1000","49.7100"
"2018/12/27","50.5000","7135518.0000","50.0300","50.5000","48.3200"
"2018/12/26","50.4100","7438592.0000","48.4000","50.4600","47.9097"
"2018/12/24","47.9600","5381335.0000","49.2500","49.4500","47.9000"
"2018/12/21","49.4500","11429310.0000","50.5100","51.2800","49.2900"
"2018/12/20","50.9100","8428836.0000","51.5300","52.0600","50.0200"
"2018/12/19","51.9300","7989555.0000","53.2000","53.3400","51.4100"
"2018/12/18","52.9500","6013143.0000","53.4300","53.6000","52.6600"
"2018/12/17","52.3900","5525490.0000","53.3700","53.3700","52.1200"
"2018/12/14","53.5100","5551605.0000","52.9000","54.7300","52.8500"
"2018/12/13","53.5500","9995538.0000","56.2300","56.4500","53.3500"
"2018/12/12","56.2700","6175060.0000","56.4600","56.9650","56.0000"
"2018/12/11","55.8900","6877078.0000","56.6900","56.9600","55.6300"
"2018/12/10","56.3200","5676229.0000","56.2300","56.6450","55.3100"
