"date","close","volume","open","high","low"

"2019/03/08","169.6000","12737410.0000","166.2000","169.6200","165.9700"
"2019/03/07","169.1300","18200280.0000","171.5000","171.7400","167.6100"
"2019/03/06","172.5100","20775850.0000","172.9000","173.5700","171.2700"
"2019/03/05","171.2600","26581790.0000","167.3700","171.8800","166.5500"
"2019/03/04","167.3700","18864670.0000","163.9000","167.5000","163.8300"
"2019/03/01","162.2800","11022100.0000","162.6000","163.1320","161.6900"
"2019/02/28","161.4500","11083060.0000","162.3700","163.5000","160.8600"
"2019/02/27","162.8100","12685830.0000","162.9000","163.9300","160.4100"
"2019/02/26","164.1300","13630540.0000","164.3350","166.2400","163.8000"
"2019/02/25","164.6200","17615000.0000","163.0700","166.0700","162.9000"
"2019/02/22","161.8900","15845990.0000","160.5800","162.4100","160.3100"
"2019/02/21","160.0400","15455630.0000","161.9300","162.2400","159.5900"
"2019/02/20","162.5600","11758420.0000","162.2500","163.7200","161.2500"
"2019/02/19","162.2900","14320590.0000","160.5000","164.1500","160.3300"
"2019/02/15","162.5000","15485430.0000","164.5100","164.7000","160.8600"
"2019/02/14","163.9500","12696560.0000","163.1900","164.8697","162.2468"
"2019/02/13","164.0700","14168500.0000","165.3800","166.2200","163.7300"
"2019/02/12","165.0400","16241390.0000","166.8600","168.3400","164.5000"
"2019/02/11","165.7900","12694750.0000","167.9000","168.3000","165.0800"
"2019/02/08","167.3300","12485700.0000","164.4700","167.3700","164.2100"
"2019/02/07","166.3800","17206800.0000","168.2000","169.2400","165.2500"
"2019/02/06","170.4900","13254460.0000","171.2000","172.4700","169.2700"
"2019/02/05","171.1600","21723960.0000","169.1500","171.9800","168.6900"
"2019/02/04","169.2500","19980980.0000","165.7000","169.3000","163.6200"
"2019/02/01","165.7100","30742790.0000","165.8400","169.1000","165.6600"
"2019/01/31","166.6900","77005780.0000","165.6000","171.6800","165.0000"
"2019/01/30","150.4200","41676170.0000","146.2200","150.9500","145.6953"
"2019/01/29","144.1900","17451800.0000","148.0900","148.1000","143.4300"
"2019/01/28","147.4700","15242960.0000","148.0500","148.9600","146.2100"
"2019/01/25","149.0100","22227160.0000","147.4800","149.8300","146.5400"
"2019/01/24","145.8300","20932280.0000","144.6400","146.4400","142.5200"
"2019/01/23","144.3000","20060100.0000","148.2800","148.8000","143.0550"
"2019/01/22","147.5700","22310570.0000","149.2000","151.5300","146.3700"
"2019/01/18","150.0400","30631520.0000","149.7500","152.4300","148.5500"
"2019/01/17","148.3000","15480790.0000","146.9500","149.0000","146.5000"
"2019/01/16","147.5400","17977150.0000","149.0000","149.6499","146.9975"
"2019/01/15","148.9500","24036820.0000","146.0100","150.6800","145.9900"
"2019/01/14","145.3900","19864680.0000","142.0000","146.5700","141.2700"
"2019/01/11","143.8000","12780600.0000","143.1500","145.3600","142.5700"
"2019/01/10","144.2000","16057330.0000","143.0800","144.5600","140.8400"
"2019/01/09","144.2300","22131500.0000","142.9500","144.7000","141.2700"
"2019/01/08","142.5300","26191030.0000","139.8900","143.1400","139.5400"
"2019/01/07","138.0500","19988840.0000","137.5600","138.8700","135.9100"
"2019/01/04","137.9500","27973370.0000","134.0100","138.0000","133.7500"
"2019/01/03","131.7400","22448730.0000","134.6900","137.1700","131.1200"
"2019/01/02","135.6800","27967450.0000","128.9900","137.5100","128.5600"
"2018/12/31","131.0900","24552820.0000","134.4500","134.6400","129.9500"
"2018/12/28","133.2000","22351260.0000","135.3400","135.9200","132.2000"
"2018/12/27","134.5200","30305940.0000","132.4400","134.9900","129.6700"
"2018/12/26","134.1800","39526860.0000","126.0000","134.2400","125.8900"
"2018/12/24","124.0600","22066000.0000","123.1000","129.7400","123.0200"
"2018/12/21","124.9500","56624760.0000","133.3900","134.9000","123.4200"
"2018/12/20","133.4000","40202130.0000","130.7000","135.5700","130.0000"
"2018/12/19","133.2400","57110060.0000","141.2100","144.9100","132.5000"
"2018/12/18","143.6600","23678090.0000","141.0800","145.9300","139.8301"
"2018/12/17","140.1900","23838160.0000","143.0800","144.9200","138.4200"
"2018/12/14","144.0600","21773500.0000","143.3400","146.0100","142.5100"
"2018/12/13","145.0100","18090420.0000","145.5700","145.8500","143.1900"
"2018/12/12","144.5000","23349970.0000","143.0800","147.1900","142.5100"
"2018/12/11","142.0800","19429850.0000","143.8800","143.8800","141.1000"
"2018/12/10","141.8500","26315700.0000","139.6000","143.0500","139.0100"
