"date","close","volume","open","high","low"

"2019/03/08","130.3200","1078518.0000","128.3200","130.3900","128.1200"
"2019/03/07","129.8700","1732188.0000","129.5100","130.1100","128.6400"
"2019/03/06","129.5500","959211.0000","130.0700","130.9300","129.3600"
"2019/03/05","129.9400","1040228.0000","130.6900","130.8199","129.6500"
"2019/03/04","130.5400","1264863.0000","131.8300","132.1625","129.3800"
"2019/03/01","131.4900","782307.0000","131.5000","132.1600","130.5400"
"2019/02/28","130.3800","1352565.0000","129.6000","130.9700","128.8500"
"2019/02/27","129.2800","855579.0000","127.8900","129.4650","127.6300"
"2019/02/26","128.4000","1054780.0000","128.1500","128.9300","127.4800"
"2019/02/25","128.2200","1056599.0000","128.8500","129.0900","128.0500"
"2019/02/22","127.7300","710066.0000","127.3500","127.9100","126.4700"
"2019/02/21","126.6200","1403057.0000","125.9400","126.7700","125.4200"
"2019/02/20","125.9400","1741451.0000","124.9400","125.9400","124.6000"
"2019/02/19","124.3700","1102330.0000","122.4100","124.6500","122.4100"
"2019/02/15","123.3000","1510225.0000","122.3800","123.5800","121.9800"
"2019/02/14","121.5500","1507119.0000","122.9100","123.2300","120.2000"
"2019/02/13","122.7500","2699444.0000","121.0500","123.1950","120.1100"
"2019/02/12","117.4200","1684646.0000","116.7300","117.8700","115.9400"
"2019/02/11","116.0200","1631657.0000","115.6000","116.9300","115.3050"
"2019/02/08","114.9000","1181104.0000","112.1400","114.9200","112.1400"
"2019/02/07","113.0000","1925920.0000","113.3300","114.4200","112.8100"
"2019/02/06","114.3200","1541264.0000","115.0500","115.4175","114.2800"
"2019/02/05","115.3000","1565498.0000","115.3000","115.7300","114.8500"
"2019/02/04","115.1200","1077067.0000","113.8600","115.5000","113.8500"
"2019/02/01","113.7600","1623660.0000","112.0900","114.0000","112.0900"
"2019/01/31","112.2800","1719613.0000","113.2400","114.0000","111.6500"
"2019/01/30","113.6800","1350110.0000","111.6000","114.1200","111.3100"
"2019/01/29","110.7000","923086.0000","111.6500","112.2200","110.6900"
"2019/01/28","111.6500","1101566.0000","111.9200","111.9400","110.8000"
"2019/01/25","113.2300","1837474.0000","112.9500","113.7900","112.3650"
"2019/01/24","112.2300","1305751.0000","111.5300","112.6400","111.2600"
"2019/01/23","111.2800","2972762.0000","110.4000","111.8050","109.9500"
"2019/01/22","112.6900","1662491.0000","114.1900","114.2400","112.0700"
"2019/01/18","114.5900","1521194.0000","113.8500","114.6700","112.8200"
"2019/01/17","113.4300","864650.0000","112.5000","114.0600","112.3800"
"2019/01/16","112.9100","1621051.0000","113.1100","114.1500","112.0400"
"2019/01/15","112.0100","1423973.0000","110.4300","112.2000","109.5200"
"2019/01/14","110.0400","1677989.0000","109.8000","111.5700","109.7900"
"2019/01/11","110.7900","1334461.0000","109.4600","110.9100","108.8000"
"2019/01/10","110.2500","1288216.0000","108.1400","110.2900","107.9900"
"2019/01/09","109.2500","1010568.0000","107.9700","109.6800","107.3000"
"2019/01/08","107.6700","1666258.0000","108.6200","108.6200","105.4000"
"2019/01/07","104.9000","1727998.0000","102.9900","105.2900","102.9650"
"2019/01/04","102.7500","1629939.0000","100.4300","103.2700","99.9209"
"2019/01/03","98.7200","1093283.0000","100.7300","101.3400","98.5600"
"2019/01/02","102.0300","1566552.0000","101.5500","103.4650","101.3900"
"2018/12/31","103.1300","870284.0000","103.1000","103.7571","101.7600"
"2018/12/28","102.5400","1476405.0000","103.4000","103.9300","101.4900"
"2018/12/27","102.7300","1192560.0000","99.6300","102.7400","98.3700"
"2018/12/26","101.4400","1405196.0000","95.7700","101.4800","95.7700"
"2018/12/24","95.3700","619773.0000","95.4800","97.4700","94.8100"
"2018/12/21","96.2700","2318182.0000","99.0100","99.2700","95.8200"
"2018/12/20","98.8600","1781265.0000","100.3700","101.5900","97.2700"
"2018/12/19","101.3400","2519350.0000","101.1600","104.3400","100.2500"
"2018/12/18","101.1400","1583217.0000","100.2500","101.6400","99.6800"
"2018/12/17","99.6300","1634947.0000","101.1500","102.8900","98.9200"
"2018/12/14","101.6000","828196.0000","102.5300","103.3000","101.1200"
"2018/12/13","103.7700","887397.0000","104.6600","105.7600","103.4300"
"2018/12/12","104.3600","995265.0000","104.6000","106.5400","104.2900"
"2018/12/11","103.0000","712432.0000","105.3700","105.4850","102.4900"
"2018/12/10","103.7900","1080495.0000","103.2700","104.6700","102.1500"
